,artist_name,track_name,track_id,popularity
470,Karaoke Pro,Tusa (Originally Performed by Karol G & Nicki Minaj) - Karaoke Version,6IldtslMnSoZhr9ftjFFrs,6
471,Fusion 10015,Tusa (Vocal Tribute Version Originally Performed By KAROL G and Nicki Minaj),2z1hXuxxYcGfigclhxAHQn,0
472,Fusion 10015,Tusa (Instrumental Tribute Version Originally Performed By KAROL G and Nicki Minaj),6beWNNgfCdnbA33veDdEtt,0
483,Summer Walker,Come Thru (with Usher),3TTMUI5dFcbeNSDTTDY9M8,79
485,Travis Denning,After A Few,1z6wl2rwKatfmza6usanWw,72
486,Travis Denning,David Ashley Parker From Powder Springs,4fhKaRCxbWXA3BwAr3Zxjx,63
487,Travis Denning,Tank Of Gas And A Radio Song,0a7dqjPE3kZrjYFXFI6ORR,57
488,Travis Denning,ABBY,6QD7xOu1N8s2NVOKqn6je8,55
489,Travis Denning,Heartbeat Of A Small Town,5G01t1U46dv9Ue7mhMt7vS,52
490,Travis Denning,"Red, White And Blue",0abANNHp13fykWCm2PRDN6,49
491,Travis Denning,After A Few - Acoustic,1QlCoMbHLtEQhpuUBS6BVQ,48
492,Travis Denning,David Ashley Parker From Powder Springs - Acoustic,6OEVxEkTxpk3cG1ecIUeTX,35
493,Travis Denning,Ballad of Rudolph,5CHS1H8CLFZOB0vkj4QIls,23
495,Jhené Aiko,B.S. (feat. H.E.R.),63wx9vdskaXbYxyDx4oJCZ,82
496,Jhené Aiko,P*$$Y Fairy (OTW),48KXAIruJ07kJVCWOGohMV,78
497,Jhené Aiko,Sativa,2pg2TiYo9Rb8KeB5JjP7jS,75
498,Summer Walker,I'll Kill You (feat. Jhené Aiko),7EkiMl81fUHVwpItgtzI4r,73
499,Jhené Aiko,Happiness Over Everything (H.O.E.) (feat. Future & Miguel),3Wol2exesJNRrj6hGZ6R8s,74
500,Jhené Aiko,Triggered (freestyle),3zPgAKn5tbmCuCKrR3r7qE,72
501,Jhené Aiko,While We're Young,4mL59LVbKgOpEACxraGYdr,72
502,Drake,From Time,0GaBIpyHvytM1UBYmqXu08,70
503,Jhené Aiko,None Of Your Concern (feat. Big Sean),75MSZRbAbQuzfUV3Pefvut,72
505,Lil Uzi Vert,P2,3kW4z2pIj5VY5fLjBrMRL5,89
506,Lil Uzi Vert,Myron,56uXDJRCuoS7abX3SkzHKQ,88
507,Lil Uzi Vert,Lo Mein,6CUP2khYzdphXebxVTfPE3,84
508,Lil Uzi Vert,That Way,5raTDhlbxFDnpn89bxArdH,85
510,Lil Uzi Vert,Sasuke,0ROE31C8Wu4neZoR9stM9e,0
511,Lil Uzi Vert,XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,85
512,Lil Uzi Vert,Bean (Kobe) [feat. Chief Keef],0IpnZchq8ek2A6pGEP2Qb1,81
